,Unnamed: 0,company,description,salary,title,remote,city,state
15,15,GovStrive LLC,"Support the collection, preparation, and management of client data and publicly available datasets such as the Federal Employee.",,Data Scientist I,no,Dublin,GA
16,16,Nestria,Feel free to apply if you think that you have adequate credentials to mentor job seekers for tech industry jobs in software development or data science.,$18 - $100 an hour,Python & Data Science Mentor,yes,Remote,
17,17,Performance Analytica LLC,"If you are a tech savvy individual with a proven background in basketball stats, Performance Analytica wants you to be part of our team.",$10 - $15 an hour,Basketball Statistician,yes,Remote,
18,18,Audiohook,Present information using data visualization techniques. Identify valuable data sources and automate collection processes. Analytical mind and business acumen.,"$50,000 - $80,000 a year",Data Scientist,yes,Remote,
19,19,Advansys Inc,Demonstrated data visualization literacy and the ability to select visualizations appropriate for a given business need.,"$75,000 - $140,000 a year",Need Data Analyst / Data Science consultants,yes,Remote,
20,20,University of Maryland,"Experience querying databases and large data sets to combine and manipulate data (e.g., import data, assess missingness, filter, transform variables, derive…",,Associate Data Scientist,no,College Park,MD
21,21,Tekshapers Inc,"Experience with building/tuning models inferencing against time series data. To create all quality documents, collect metrics data and conducting Audits.",$60 - $65 an hour,Data Scientist,no,Rahway,NJ
22,22,Kanini Software Solutions,This person will also be responsible for managing the team providing data pipeline work to the Unsupervised system. Working at Kanini is flexible and personal.,$60 - $80 an hour,Product Manager – Data Science,no,Nashville,TN
23,23,"LockerDome, Inc.","Additionally, you’ll contribute to LockerDome's code base, working with large datasets within our platform and supplemental client data to build tools that are…",,"Junior Data Analyst, Data & Analytics",yes,Remote,
24,24,"Continental Finance Company, LLC",Creating complex data visualizations in Tableau. Creating complex custom data queries in SQL. Creating complex data models in SAS or R or Python.,"$80,000 - $100,000 a year",Data Scientist,no,Wilmington,DE
25,25,Telesis,Transform and convert data streams into structures needed for algorithm input. They will collaborate with Data Scientists to design tools to train machine…,"$130,000 - $140,000 a year",Machine Learning Engineer,no,Tampa,FL
26,26,US Department of Veterans Affairs,"This position drives agency innovation and delivers expert business intelligence with respect to data governance, data visualization, data analysis and…","$92,143 - $140,000 a year",Data Scientist,yes,Remote,
27,27,HBO,"HBO offers competitive benefits to include medical, dental, vision, a matched 401(k) plan, flexible spending, a commuter benefit program and tuition…",,Technical Sourcing Recruiter – Data Science,no,New York,NY
28,28,WarnerMedia,"HBO offers competitive benefits to include medical, dental, vision, a matched 401(k) plan, flexible spending, a commuter benefit program and tuition…",,Technical Sourcing Recruiter – Data Science,no,New York,NY
29,29,Delaware Nation Industries,Work with social science researchers to identify relevant data needs for policy-oriented research purposes. Contribute to and help maintain data structure for a…,"$130,000 - $140,000 a year",Data Scientist,no,Washington,DC
30,30,Blueprint Power,Gather and characterize data inputs and outputs for the models. Has 3-5 years of experience in python programming and 1+ years of experience using modeling and…,"$78,795 - $182,856 a year","Data Scientist, Modeling & Simulation Team",yes,Remote,
31,31,Lancer Insurance Company,Data analysis: 1 year (Preferred). Collaborate with stakeholders to integrate data mining results with existing systems. Experience with Python a plus.,"$75,000 - $125,000 a year",Predictive Modeler,yes,Remote,
32,32,SquadMethod,"Data Scientists: *Machine Learning : will develop, evaluate and modify algorithms and algorithm ensembles to performance against various network data sources…",,Data Scientist,yes,Remote,
33,33,Southwest Airlines Co.,"The Data Science Recruiter manages the full lifecycle of recruiting while maintaining strong relations with business leaders, hiring managers, human resources…",,Data Science Recruiter,no,Dallas,TX
34,34,FinTek Solutions LLC,"8+ years of OR, statistical or data mining algorithm development experience, including 5+ years of AI/ML development experience for real-world applications.",$45 - $50 an hour,AI/ML Data Scientist,no,Atlanta,GA
35,35,Generally Intelligent,Gain real exposure to deep learning research. Take time to develop a deep understanding of what makes neural networks actually work by reading papers and the…,"$130,000 - $170,000 a year",Deep Learning Engineer (Full-time),no,San Francisco,CA
36,36,Quizlet,"You will be the owner and expert of subscriptions data, enabling you to identify new high-value opportunities, analyze A/B test experiments, recommend data…",,"Product Analyst, Subscriptions",no,San Francisco,CA
37,37,Øptimus Consulting,"Øptimus Analytics, a data science and software company, is seeking a data science fellow in the Washington, DC area or remotely.",,Data Science Fellow,no,Alexandria,VA
38,38,PrimeNeuro,"Ph.D. or Master’s in data science, bioinformatics, or a closely related field or B.S. with 3-5 years of post-degree work experience.","$95,000 - $105,000 a year",Data Scientist,no,Durham,NC
39,39,Awning,"Integrate third-party data sources with our data infrastructure. You'll also support with data science, machine learning, and engineering work we do.",,Data Engineer,no,San Francisco,CA
40,40,Tra'Bian Enterprises,Once the chatbot is created – will uses analytics data from Watson Assistant to provide insights into overall Bot performance and areas of improvement.,,(5) Data Analyst / Data Scientist,yes,Remote,
41,41,Instacart,Build and lead a high-performing team of data scientists. Enable objective decision making across the company by democratizing data through dashboards and other…,,"Manager, Data Science - Ads",no,California,
42,42,Clara Analytics,"Proficiency in Python for data science applications. 2+ years of experience with end to end data science pipelines - data ingestion, processing, machine…",,Data Scientist,yes,Remote,
43,43,"Denali System Co., Ltd","Data science: 3 years (Preferred). Proven Experience in working with large scale data systems. Formulating, suggesting, and managing data-driven projects which…",,Data Scientist -- Full-time,no,Mountain View,CA
44,44,"LockerDome, Inc.","Build data science models that tie directly into other existing models. Strong technical ability in a data-focused programming language, such as R or Python.",,"Junior Data Scientist, ML R&D",yes,Remote,
45,45,Tampa Bay Rays,Our R&D group helps shape the Baseball Operations decision-making processes through the analysis and interpretation of data. Experience with R or Python.,,"Analyst, Baseball Research & Development",no,Saint Petersburg,FL
46,46,Viridios AI,"Advanced data exploration and visualization skills. Bachelor’s degree in any technical subject (e.g., computer science, engineering, physics, mathematics, etc).","$60,598 - $184,293 a year","Data Scientist, Artificial Intelligence",yes,Remote,
47,47,National Independent Statistical Service,This individual corresponds with company contacts when problems are identified and assists in resolving data questions.,,Statistical Analyst,no,Indianapolis,IN
48,48,United Solutions LLC,Strong experience in manipulating data and drawing insights from large data sets. Experience working with and creating data architectures.,"$50,000 - $120,000 a year",Data Scientist,no,Rockville,MD
49,49,DataCamp,"Passionate about teaching data science and data fluency skills. Talented data science industry professional skilled in either Python, R, SQL, or Sheets (or all…",,"Data Science Online Course Instructor (Part-Time, Contract)",no,New York State,
50,50,Atlas Executive Consulting,Minimum four (4) years of experience developing data analytics or data science solutions. Ability to manipulate data from multiple structured and unstructured…,"$70,000 - $85,000 a year",Mid-Level Data Scientist,no,North Charleston,SC
51,51,TARGET PHARMASOLUTIONS,Aggregate and organize data from disparate sources in support of data analysis. Knowledge of healthcare/clinical data desired.,,Data Scientist,no,Durham,NC
52,52,Orlando City SC,"Degree in computer science, math, data science or related field or a combination of education and 1-2 years experience in statistical analysis and report…",,Sports Science Data Analyst,no,Orlando,FL
53,53,Tripoint Solutions,Conduct data analysis tasks in conjunction with client data SMEs. This position requires the applicant to parse disparate data sources to find the patterns and…,"$90,000 - $95,000 a year",Data Scientist,no,Alexandria,VA
54,54,CreditXpert,"Closely collaborate with operations and data science to create scalable solutions for product problems. Manage data and meta-data, structuring it properly via…","$96,980 - $153,326 a year",Data Engineer,no,Baltimore,MD
55,55,"Redaptive, Inc.",The Quantitative Data Analyst at Redaptive leverages any and all available data to answer Redaptive’s critical questions.,,Quantitative Data Analyst,no,United States,
56,56,Numerdox,"You will be performing thorough testing and validation of models, and support various aspects of the business with data analytics.",,Data Scientist - Entry Level,no,Sacramento,CA
57,57,Facebook,"Utilizes Data for reporting and influencing hiring decisions, while maintaining data integrity. Partner with Coordinators and Recruiters to manage an efficient…",,"Technical Sourcer, Data Science",yes,Remote,
58,58,Titan America,"Experience with common data science toolkits, such as R, Python. Extending company’s data with third party sources of information when needed.",,Junior Data Scientist,no,Roanoke,VA
59,59,The General Insurance,"As an Associate Data Scientist, you will be involved first hand with actual data science projects and writing code that matters.",,Associate Data Scientist,no,Nashville,TN
60,60,General Motors,Our Data Analytics team supports operational improvement and business decision-making through ad-hoc statistical analysis of curated enterprise data and self…,,Data Analyst,no,Michigan,
61,61,Utility Associates,Identify valuable data sources and automate the collection of data. Our plan is to build a data science team that will help us gain valuable insights from…,"$110,000 - $135,000 a year",Data Scientist,no,Decatur,GA
62,62,Liberty Mutual Insurance,"Develop expertise in products requiring price segmentation and in available analytic data. High-level knowledge of data sources, tools, and the business (lines,…","$126,901 - $179,500 a year","Director I, Data Science",yes,Remote,
63,63,Rooms To Go Corporate | Furniture,"4-year College degree in marketing, advertising, data science or a business-related field. Reviews data and reports for quality assurance.",,Media Specialist,no,Atlanta,GA
64,64,Netflix,Inspire and lead your team to deliver data and strategic and novel data science and engineering approaches that help optimize and guide Netflix's content…,,VP of Content Data Science & Engineering,no,Los Angeles,CA
65,65,Cato Institute,"Degree in economics, statistics, data science, or any field that requires strong analytical and writing skills. Interest in libertarianism and public policy.",,RESEARCH ASSOCIATE FOR ECONOMIC STUDIES,yes,Remote,
66,66,Neal Analytics,"This Data Analyst will require significant experience analyzing data looking for basic patterns and performing business-rule data validation, then producing…",$65 - $70 an hour,Senior Data Analyst,yes,Remote,
67,67,"Dynamic Placement Services, LLC","Dynamic’s client is seeking a Software Architect for a permanent position in Denver, CO (the ideal candidate will be local to the Denver area and can go into…",,Software Architect (Machine Learning/Artificial Intelligence),no,Denver,CO
68,68,Facebook,"As a Recruiting Lead on our Data Science Sourcing & Recruiting Teams, you will work closely with recruiting and sourcing leaders, Data Science business leaders…",,"Recruiting Lead, Data Science",yes,Remote,
69,69,"E Cyber7 Technologies, LLC",Demonstrates solid data science knowledge. Designing and developing machine learning and deep learning systems. Running machine learning tests and experiments.,"$45,000 - $140,000 a year",Machine Learning Engineer,no,Bowie,MD
70,70,Sustainable Living Lab,"Prior working experience at a Community College or University level in a content development/training/mentoring role is a must. Job Types: Full-time, Contract.","$6,000 - $7,000 a month",Artificial Intelligence Trainer,yes,Remote,
71,71,Clarify Health Solutions.,Experience documenting ETL mappings and similar documents to provide data lineage and data transformation logic. Testing and QA of all steps of processing.,"$100,000 - $145,000 a year",Healthcare Data Analyst,yes,Remote,
72,72,Doorstead,Extending company's data with third party sources of information when needed. Enhancing data collection procedures to include information that is relevant for…,,Data Scientist,no,San Francisco,CA
73,73,IBM,Determine the appropriate data collections methods based on the unique data structure and elements. The role will involve working with the CIO Data Lake and…,,Data Scientist - Campus Network,no,Research Triangle Park,NC
74,74,Starbucks,"Understands how to break down the data, extract insights, and determine utility within larger data analytic products.",,data scientist -Remote,no,Seattle,WA
75,75,Trend Health Partners,Interpret and analyze data to accurately assess and demonstrate key insights into trends and opportunities. Trend Health Partners is currently seeking analysts…,"$50,000 - $60,000 a year",CLAIMS ANALYST (DATA MINING),no,Hunt Valley,MD
76,76,SymphonyRM,Experience using dbt to transform data. Transform and model data using dbt and LookML. Visualize data to communicate findings using platforms such as Excel or…,,Junior Data Analyst,no,Pennsylvania,
77,77,Booz Allen Hamilton,"2+ years of experience with data science, data analytics, or research analytics. Join us as we use data science for good in public healthcare.",,"Public Health Analyst and Data Scientist, Junior",no,Bethesda,MD
78,78,MyGuru Tutoring & Test Prep,"MyGuru, a boutique 1-1 tutoring and test prep provider, is seeking experienced a data science/machine learning tutor to join our team.",$40 - $50 an hour,Data Science Tutor,yes,Remote,
79,79,Clara Analytics,CLARA Analytics is looking for an experienced Machine Learning Engineer to join the data science team. Collaborate with data engineering and product teams on…,,Machine Learning Engineer,yes,Remote,
80,80,The New York Times,Democratize data and insights through skillful data structuring and use of visualization tools. Collaborate with data science and tech to bring to life new…,,"Analyst, Data and Insights Group (Growth)",no,New York,NY
81,81,Juno College of Technology,"Have demonstrable hands-on industry experience in data analytics or data science. Have expertise in using Python for data wrangling, exploratory data analysis,…",$100 an hour,"Part-Time Content Creator, Data",yes,Remote,
82,82,Orsus Research,Orsus Research is a Quantitative Investment Firm that selects securities based on quantitative analysis. We employ computer-based models and machine learning…,"$63,919 - $240,750 a year",Quantitative Researcher,no,New York,NY
83,83,"Appalachian Regional Healthcare, Inc.",The Project Manager is responsible for designing and/or implementing major Information Systems to meet the overall objectives established by management.,,Project Manager for Data Science - Remote Position,yes,Remote,
84,84,"Metron, Inc.",Conduct data collection and specification reviews. Perform post-processing data analysis and interpretation. Participate in customer meetings and briefings.,,Associate Operations/Systems Analyst,no,Hanahan,SC
85,85,GHK,"Leads AI best practice sharing opportunities and knowledge of industry trends and innovations in data science. Salary: Up to $120,000.00 per year.",,Principal Data Scientist,yes,Remote,
86,86,IntelliGen Technologies,"Genus plc is a market leader in porcine, dairy, and beef genetics and is uniquely positioned as a global player with a dedicated, multi-species research and…",,Data Scientist,yes,Remote,
87,87,Homeless Services Network of Central Florida,Disseminate data regarding data quality and system performance measures. Assists in monitoring and providing regular updates to the organization’s management…,"$45,000 - $53,000 a year",HSN Data Analyst I,no,Orlando,FL
88,88,SemanticBits LLC,Three or more years working in a data scientist or data analyst role. Maintain data documentation and definitions. Six years of relevant technical experience.,,Data Scientist - Remote,yes,Remote,
89,89,LOCKHEED MARTIN CORPORATION,"Demonstrated experience with data governance and data management practices such as metadata management, data quality, data stewardship, and master data…",,Data Fabric Architect,no,Bethesda,MD
90,90,Ascendum,"Knowledge in three of the following technical disciplines: data warehousing, big data management, analytics development, data science, application programming…",,Data Engineer Level 3,no,Cincinnati,OH
91,91,Optimal Solutions Group,Self-motivation and interest in data-driven public policy analysis a must. The Research Analyst(s) would assist senior researchers in a variety of research and…,,Research Analyst I,no,College Park,MD
92,92,Recovery Centers of America,"Strong knowledge of Data Science, Data structures, data modelling and software architecture. Reporting to the CTO, the ideal candidate will have great problem…",,Data Scientist,no,King of Prussia,PA
93,93,Wake Forest Baptist Medical Center,"Assists in data analyses and preparation of charts, graphs, and reports obtained from research data. Assists in the design and testing of questionnaires, data…",,"Data Collector, Biostatistics and Data Science",no,Winston-Salem,NC
94,94,"U.S. Xpress Enterprises, Inc.","Experience with data visualization best practices for data-driven storytelling. Design of interactive scorecards, dashboards and interactive data products…",,"Sr Data Analyst, People Science",yes,Remote,
95,95,BCC Geospatial Center of the CUNY CREST Institute,We are seeking an experienced data scientist with skills and qualifications in analyzing and modeling geospatial data.,$20 - $25 an hour,DATA SCIENTIST - GEOSPATIAL TECHNOLOGY,yes,Remote,
96,96,Jackson Lewis P.C,Two years of experience as a data statistician preferred. Ability to write programs/macros to automate repetitive statistical and data tasks required.,"$66,000 - $111,000 a year",Data Statistician,no,Denver,CO
97,97,"Pharma Resource Group, Inc.",Support the safety science eﬀort to build applications and tools by applying advanced scientific algorithms and methods and translating the strategic vision of…,,Data Scientist - Pharmaceutical domain,no,Fort Washington,PA
98,98,Goldman Sachs,"Some roles will require proficiency in R, Python, or similar for statistical modeling and analyzing time-series data.",,Early Careers | Financial Modeling & Research | New York,no,New York,NY
99,99,Optimal Solutions Group,"Assist Data Scientists in developing data products that contain dynamic data visualizations to present findings, data explorers that allow users to explore and…",,Data Scientist Jr.,no,College Park,MD
100,100,Brilliant Infotech,"Solid experience performing data science from data discovery, cleaning, model selection, validation, and deployment; experience coding artificial intelligence…","$111,000 - $122,000 a year",Data Scientist,no,Ewing,NJ
101,101,"Decision Information Resources, Inc","Master’s degree with coursework in data analysis or data science. Additionally, the ability to set up a platform for data visualization is preferred.","$65,000 - $80,000 a year",Data Visualization Analyst,no,Washington,DC
102,102,"Naval Systems, Inc.",Write tools to assist in mining data from various Navy and DoD data sources. Assist in the assessment and accuracy of new data sources and data gathering…,,Junior Data Analyst,no,Lexington Park,MD
103,103,Nauto,Collaborative mindset when working with engineering teams to implement data models and data gathering infrastructure in production.,,Data Science,no,Palo Alto,CA
104,104,Franklin IQ,Gathering data via advanced computerized models. Developing and revising existing data models. Extracting patterns of data through high-level algorithms.,$50 - $70 an hour,Data Scientist,no,Arlington,VA
105,105,KBR,"Engineering Support: Participates with engineering in the design, development, and utilization of scientific/engineering electronic data processing systems…",,"Data Scientist (Part-Time, Remote)",no,Lexington Park,MD
106,106,Bayer,Ability to understand and implement product data management practices. Working with product lifecycle management or product data tracking databases or similar…,,Data Collection (Entry) - Data Science - R&D - PH - US,no,Indianola,PA
107,107,EpochGeo,"Our developers, analysts, and data scientists have a proven track record applying open-source innovative technology, data science, and actionable analytics to…","$100,000 - $200,000 a year",Junior OR Mid OR Senior Data Scientist,no,Washington,DC
108,108,Blizzard Entertainment,"Demonstrated experience with some or all of the following: data modeling, data visualization, statistics, experimental design, predictive modeling.",,"Data Analyst, World of Warcraft Analytics",no,Irvine,CA
109,109,Formstack,"An absolute passion for data, data-science, visualization, and analytics. Coordinate with other teams and departments (e.g. Data Engineering, Revenue Operations…","$70,000 - $80,000 a year",Product Analyst,yes,Remote,
110,110,Elutions,Perform statistical data analysis and statistical modelling with high quality data handling techniques. Incorporate process of continuous improvements into day…,,Data Analyst,no,Tampa,FL
111,111,Catalyte,Building data ingestion pipelines to ensure timely and quality data into our Data Lake. Collaborating with our Data Science team on data and metrics.,"$116,223 - $126,282 a year",Data Engineer,yes,Remote,
112,112,US Geological Survey,Performs data conversions to review calculations and averages to ensure publishable data. Performs data collection and survey processing activities.,"$39,684 - $51,592 a year",Statistical Assistant,no,Reston,VA
113,113,BSquared Consulting,8+ years of total data analyst experience required. Obtain data through advanced computerized models; extrapolate data patterns through advanced algorithms;…,"$100,000 - $108,000 a year",Healthcare Data Analyst - Senior,no,Washington,DC
114,114,"Dfuse Technologies, Inc.","Demonstrated experience defining data flows, i.e., which parts of the organization generate data, which require data to function, how data flows are managed,…","$104,889 - $150,000 a year","Data Architect- Cloud, AI, Machine Learning",no,Arlington,VA
115,115,Venga Global,This will help our team gather enough data to teach computers to identify the same traits. Additional special projects may be assigned if time allows.,$15 an hour,"Interview Analyst - Spanish Study (Remote, USA)",no,North Carolina,
116,116,Liberty Mutual Insurance,"Building predictive models using unstructured data such as free text, images, voice data. Workers compensation, general liability, and auto insurance data.","$106,288 - $172,800 a year","Assistant Director, Data Science",no,Seattle,WA
117,117,US Internal Revenue Service,Review statistical literature for data and research methodology appropriate for inclusion in the research process and also as a means of helping to evaluate the…,"$92,143 - $138,413 a year",STATISTICIAN *DIRECT HIRE*,no,Phoenix,AZ
118,118,KeyBank,"Provide concise data reports and clear data visualizations. You must have the ability to obtain raw data from a data lake via SAS/GCP, be familiar with data…","$90,000 - $100,000 a year",Fraud Business Intelligence Data Analyst - Card Products,yes,Remote,
119,119,Booz Allen Hamilton,"Participate in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal…",,"Data Scientist, Consultant",no,Washington,DC
120,120,Liberty Mutual Insurance,"Experience bridging the gap between engineering and data science groups. Our group excels in the ‘how' of data science – how to write repeatable code, how to…","$155,000 - $204,000 a year","Director, Data Science & Machine Learning Operations (ML Ops)",yes,Remote,
121,121,Intone Networks,There’s also a lead data scientist and the data engineering team that can support this project. Setting up a framework to figure out how to define which data is…,,Data Scientist,yes,Remote,
122,122,EchoStar,Develop custom ML data models and algorithms to apply to data sets. Assess the effectiveness and accuracy of new data sources and data gathering techniques.,,Entry Level Data Scientist,no,Germantown,MD
123,123,Delta,"Responsible for creation and validation of new data sources, including data integrity across our data structures.",,"Strategy, Data Specialist",no,Atlanta,GA
124,124,Netflix,You have experience building and leading large and geographically distributed data science teams (100+). You have a deep technical background in applied data…,,VP of Product Data Science & Engineering,no,Los Gatos,CA
125,125,Driveway Home Office,"1-3 years of experience in data analysis with emphasis on data and analytics. Developing and implementing data analyses, data collection systems and other…",,Driveway Data Analyst,no,North Carolina,
126,126,Metropolitan Atlanta Rapid Transit Authority (MARTA),"Responsible for business analytics work through all phases, including data quality, automation, data analysis, data visualization, and presentation of results.","$60,000 - $90,000 a year",Sr. Performance Analyst (Data Science),no,Atlanta,GA
127,127,Facebook,"People use Stories to share their day, connect with their friends, and interact with content they love. This person will be tackling highly ambiguous problems…",,Data Scientist - Instagram Stories,yes,Remote,
128,128,Cambium Learning Group,"Integrate data from multiple data sets, analyze and interpret complex data sets and make findings relevant and actionable for both internal and external…",,Data Analyst I,yes,Remote,
129,129,The Voter Participation Center / Center for Voter Information,"Previous experience in political data. Previous experience crafting narratives from unstructured data. Collect, clean, and process data sets.","$65,000 - $75,000 a year",Data Analyst,no,Washington,DC
130,130,Microsoft,"You will be part of an ambitious plan to reshape human-computer interaction with conversational AI. Improve the speech output quality in terms of naturalness,…",,Full Time Opportunities for PhD Students and Recent Graduates - Natural Language Processing,no,Redmond,WA
131,131,Florida Blue,"Intermediate Excel skills Desire to continue to improve computational, statistical, behavioral and data science skills. Knowledge of R is a plus.",,Analyst Behavioral Science & Analytics,no,United States,
132,132,O'Neil Global Advisors,"Provide support to our data science and investment management teams. Document the data sets in Confluence. Build, clean, and transform various time series data…",,Quantitative Analyst,yes,Remote,
133,133,Walmart,"Bachelor's degree in data science, applied mathematics, computer science or otherwise research-based field; Master’s degree required.",,Data Scientist,no,Dallas,TX
134,134,"Interos, Inc.",Developing custom data models and algorithms to apply to data sets. Assessing the effectiveness and accuracy of new data sources and data gathering techniques.,,Associate Data Scientist,no,Virginia,
135,135,Passion,"Degree in computer science, data science, or equivalent education and experience preferred. Assists with providing data driven solutions.",,Data Analyst,no,Atlanta,GA
136,136,Instacart,Investigate and solve complex data issues such as data bugs that impact critical metrics. Deploy data quality checks and ensure high quality of dashboards and…,,Business Intelligence Analyst,no,San Francisco,CA
137,137,PagerDuty,"Demonstrated experience with data modeling, database design, extract transform load (ETL) processes, working with unstructured data, and cloud-based data…",,"Staff Data Engineer, Machine Learning Infrastructure",no,California,
138,138,Innovyt,"In this role, you will work on some of the latest applications of data science to business. We are looking for candidates with minimum of 3-5 years of…","$110,000 - $150,000 a year",Data Scientist (Life Science),no,San Jose,CA
139,139,Delta Faucet Company,We are seeking a data scientist or statistician to: Deliver a plan of action for promotions that is data driven.,"$80,000 - $100,000 a year",Data Scientist - Pricing/Finance,yes,Remote,
140,140,Thyme Care,Combating data engineering and data accuracy issues proactively by helping to build out pipelines and proper data testing.,,Data Scientist,yes,Remote,
141,141,Rx Marketing Group,"Bachelor’s degree in data science, statistics, computer sciences, information management, or another quantitative field.",,Junior Media Analyst,yes,Remote,
142,142,DataRobot,Familiarity with data platform technology integrations. Act as a trusted advisor on AI across the customer lifecycle; build champions by enabling customers to…,,Pre-Sales Data Science,no,Georgia,
143,143,"Data-Core System, Inc.","Alongside, we plan to generate a portfolio of products and services related to decision making by corporate CFOs and fund CIOs, unavailable till now without…","$50,000 a year",Machine Learning Engineer,no,Philadelphia,PA
144,144,Geospark Analytics,"We are a small team where you will have autonomy to create, train, test, develop, and deploy new models on a regular basis.",,Data Scientist,no,United States,
145,145,EpochGeo,"Our developers, analysts, and data scientists have a proven track record applying open-source innovative technology, data science, and actionable analytics to…","$100,000 - $200,000 a year",Geospatial Data Scientist/Analyst,no,Washington,DC
146,146,Applecart,"Interest in or passion for politics, the legislative process, technology, data analytics, and data science. Partner with other data analysts to build predictive…",,"Data Analyst Fellow, Politics & Advocacy",no,New York,NY
147,147,MMIT,"Experience analyzing large healthcare data sets, such as claims and formulary coverage data, and synthesize patterns into actionable feedback to Product and…",,"Data Analyst, Data Services",no,Yardley,PA
148,148,Bloom Insurance,Knowledge of data science technologies is a plus. Able to generate ad hoc data on demand. Design data models and develop database structures in Microsoft SQL…,,Data Engineer L1 - Remote,no,Bloomington,IN
149,149,"JPMorgan Chase Bank, N.A.","Aggregate data and perform data preprocessing. 0-3 years of related data science/research experience. A demonstrable interest in data science, financial markets…",,Asset Management - Equities - Data Science - Associate,no,New York,NY
150,150,Eleanor Health,"Be the data expert supporting cross-functional teams, gathering data from various sources, and building automated reporting to democratize data across the…",,Senior Data Analyst,no,Massachusetts,
151,151,FocusKPI Inc.,"Ability to communicate and explain data science concepts to diverse audiences, craft a compelling story. Fluency in data and scripting languages (SQL, Python…",,Data Scientist,no,Mountain View,CA
152,152,"Majestic Steel USA, Inc.","Design, build and validate data models in BI platform. Work with DBA’s to construct architectural data solutions. Skilled in SQL and relational databases.",,BI Analyst,no,Pepper Pike,OH
153,153,University of Washington,"Bring together data, analytic engines, and data visualizations in one seamless computational process. Create and document efficient, effective, and replicable…",,DATA ANALYST,no,Seattle,WA
154,154,"HelioCampus, Inc.","As a BI Engineer you will be responsible for designing, building and testing our reporting platform with a focus on data modeling and manipulation to create…",,Business Intelligence (BI) Engineer - Entry Level,no,Chapel Hill,NC
155,155,Akoya Biosciences,May be asked to participate in academic data analysis collaborations. Design implement and test new tools for CODEX and Phenoptics data analysis.,,Bioinformatician,yes,Remote,
156,156,"Barr Air Patrol, LLC","DO NOT APPLY IF YOU DO NOT HAVE EXTENSIVE EXPERIENCE USING AI TO ANALYZE IMAGERY, CLASSIFY IMAGES, BUILDING AND TRAINING ALGORITHMS.",,Artificial Intelligence Specialist,yes,Remote,
157,157,Explorium,"Familiarity with data science concepts such as data acquisition and cleaning, the major types of machine learning models used in business contexts, and model…",,Data Science Sales Engineer,no,New York,NY
158,158,Gap Inc.,Navigate various data sources and efficiently locate data in a complex data ecosystem. This position will be part of the Data Science Engineering team at Gap…,,Associate Data Science Engineer,no,United States,
