,Unnamed: 0,title,salary,description,remote,city,state
51,51,Data Scientist,,"Significant data science or computer science expertise.They have expertise in cloud-based data management and analysis, conservation science workflows, and…",no,Washington,DC
52,52,Data Science,"$51,592 - $84,732 a year",We're looking for individuals in the data science field with the requisite education and skills to provide data-driven insights and help solve complex problems…,no,Salt Lake City,UT
53,53,Data Engineer,,Collaborate with Data Architecture and other Data Engineering groups maintaining a focus on operationalizing data flows in the service of data science and…,yes,Chicago,IL
54,54,Data Analyst,,Our R&D group helps shape the Baseball Operations decision-making processes through the analysis and interpretation of data.Experience with R or Python.,no,Saint Petersburg,FL
55,55,Data Science,,Candidates must be proficient in programming using python and associated machine learning libraries and packages and have experience in the application of…,no,Charlottesville,VA
56,56,Data Analyst,,Use your understanding of the intelligence analysis process as a defense SME to translate complex data science approaches to solutions into meaningful…,yes,Remote,
57,57,Data Scientist,,"You think about data in terms of statistical distributions and have a big enough analytics toolbox to know how to find patterns in data, identify targets for…",no,Seattle,WA
58,58,Data Analyst,,"Ensures business data and analysis requirements are met by properly applying data concepts, including data structures, collection and cleansing, and structured…",no,Augusta,GA
59,59,Data Linguist-I,,Deliver high quality data output under aggressive deadlines covering unique data analysis requests from a range of customers.Business level fluency in English.,no,Cambridge,MA
60,60,Data Science,,"All specialization areas in Data Science will be considered, however, preferred areas of expertise are data mining and visualization, cloud computing,…",no,Rockville Centre,NY
61,61,Data Scientist,,"Collaborate with an interdisciplinary team of software engineers and data scientists on cross-functional projects, interpreting data, and translating into…",no,Menlo Park,CA
62,62,Machine Learning,,"PhD in applied mathematics, computational science or engineering.Knowledge and expertise in computational science and code development.",no,Livermore,CA
63,63,Data Scientist,,"Ability to pursue a career in data science.You’ll learn how to write scripts to integrate data, conduct exploratory data analysis to discover hidden trends,…",no,McLean,VA
64,64,Machine Learning,,"In addition to a quantitative background, the selected candidates will ideally have one or more of the following attributes: a) a strong background in physical…",no,Princeton,NJ
65,65,Part-Time Student-Smart Connected Factory/Data and Analytics...,,Locates and acquires data from existing data locations as needed to support analytics and reporting.Education focused in data and analytics.,yes,Waterloo,IA
66,66,Machine Learning,,"This role focuses on language data, primarily in the areas of writing and general data analysis deliverables.Writing high-quality and engaging copy.",no,Santa Barbara,CA
67,67,Data Scientist,,2 years of experience in data science or advanced analytics in industry.The primary purpose of this role is to provide advanced analytical capabilities to…,no,Charlotte,NC
68,68,Data Modeler,,"Work with the Application Development team to implement data strategies, build data flows and develop conceptual data models.",yes,Charlotte,NC
69,69,Data Science,,"We seek applicants in all content areas related to data science including data analysis, programming, statistics, machine learning and visualization.",no,San Diego,CA
70,70,Associate Professor,,Integrate advances in diverse fields of machine learning and computer science into modern analytics infrastructure and workflows.,no,Winston-Salem,NC
71,71,"Assistant Scientist, Data Curation",,Identify potential issues in data acquisition from the LC-MS instruments.BS Degree in physical or mathematical science or equivalent STEM degree.,no,Morrisville,NC
72,72,"Postdoctoral Fellowship, Data Institute",,"Opportunity to mentor or co-mentor graduate students on industry practicum projects, which will expose the fellow to practical data science problems in industry…",no,San Francisco,CA
73,73,Data Scientist,,"A blend of data science capability, consulting expertise and industry experience (e.g. retail, CPG & loyalty), experienced storyteller with data and…",no,Philadelphia,PA
74,74,Research Data Coordinator Behavioral Science,,"Collects and enters patient's data into database including: demographic, outcomes data, and assessment data.Utilizes motivational techniques to assist patients…",no,Houston,TX
75,75,Data Science,"$61,930 - $162,227 a year","Research design and data analysis.Our MIDS program trains data scientists to manage and analyze the coming onslaught of big data, in a unique high-touch online…",no,Berkeley,CA
76,76,Data Scientist,,"Serve as a data science and analytics team lead in a highly matrixed research environment, and as a data science project lead on multidisciplinary teams that…",no,Philadelphia,PA
77,77,NLP Developer,,"Required Skills4 - 6 years of professional experience in NLP programmingNLP programming in R and or Python / AnacondaHeavy programming skills; linguistics, text…",no,Charlotte,NC
78,78,JPMWM - Quant Analytics - Data & Analytics - Sr. Associate,,"We have unified data and analytics talent across the firm and encompass a variety of disciplines including data science, reporting, quantitative analytics, and…",no,Columbus,OH
79,79,Data Science,,Create our data science content roadmap and be able to communicate our goals to key internal and external stakeholders and implement feedback on an ongoing…,yes,Remote,
80,80,Data Scientist,,"We also offer many company-sponsored classes and conferences that focus on data science, ML, and engineering excellence.",no,Redmond,WA
81,81,Data Scientist,,Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.,no,Santa Monica,CA
82,82,Data Scientist,,Work closely with data scientists and analysts to design and develop data mining and machine.Distributed data systems such as Hadoop and Spark.,no,Champaign,IL
83,83,Data Engineer,,"Collaborate with engineers, product managers, and data scientists to understand data needs, representing key data insights visually in a meaningful way.",yes,Remote,
84,84,Data Scientist,,"You will work closely with marketing, product, science and software teams to uncover insights and enable data-driven decision making across all areas of the…",no,San Francisco,CA
85,85,Data Science,,Maintain and document work associated with analyses and data science products.Collect and process data to perform statistical analyses.,no,Foxborough,MA
86,86,Data Scientist,"Up to $114,660 a year","As an Associate Data Scientist, you will be involved first hand with actual data science projects and writing code that matters.",no,Nashville,TN
87,87,Data Science,,Has solid data science industry experience.Preferably has teaching experience alongside data science.Is a data scientist with outstanding knowledge of and…,yes,Remote,
88,88,Data Scientist,,Experience in sharing data science/machine learning experiment results with both technical and business oriented people.Identify and propose new use cases.,yes,Remote,
89,89,Data Scientist,,Assess the effectiveness and accuracy of new data sources and data gathering techniques.Develop processes and tools to monitor and analyze model performance…,no,Dodgeville,WI
90,90,Data Science,"Up to $191,000 a year","We are a passionate, diverse team looking for data science professionals who can help us re-envision insurance in light of technical, societal, and consumer…",no,Chicago,IL
91,91,Data Scientist,,Perform analyses on large sets of data to extract actionable insights that will help drive product decisions.Possess statistical competence (such as regression…,yes,New York,NY
92,92,Statistical Assistant,"$39,684 - $51,592 a year",Performs data conversions to review calculations and averages to ensure publishable data.Performs data collection and survey processing activities.,yes,Reston,VA
93,93,Data Science,,"1-year experience in data science with a focus on pricing analytics, statistical modeling, machine learning, forecasting and optimization.",no,Portland,OR
94,94,Data Scientist,,"You will have access to Princeton's first-class resources, the opportunity to co-author academic publications, to offer short courses and workshops on data…",no,Princeton,NJ
95,95,Data Engineer,,"This position develops, tests, and maintains scalable and efficient data pipelines to acquire and transform large volumes of structured and unstructured data,…",no,Richmond,VA
96,96,Data Scientist,,,no,Seattle,WA
97,97,Data Science,,Emphasis is on the role of data in developing business strategy.Course explores the use of insights obtained from data to develop solutions to competitive…,yes,Superior,WI
98,98,Data Science,,"Project and/or classroom experience in areas like data analysis, optimization, machine learning, supply chain management, pricing and promotion analysis,…",no,San Francisco,CA
99,99,Data Scientist,,Experience working with sensitive or personally identifiable data and handling associated governance issues.Analytical or Research experience from any relevant…,yes,Remote,
100,100,Data Scientist,,Knowledge of statistics or data visualization is a plus.Understanding the data which our clients provide to us;,no,San Mateo,CA
101,101,Data Science,,UMSI has an immediate need for Instructional Aides to support our online Masters of Applied Data Science program.Administer and grade assignments using rubric.,no,Ann Arbor,MI
102,102,Data Scientist,,"Assess the effectiveness and accuracy of new data sources and data gathering techniques.Implement best practices for data performance, automation, compliance,…",no,Eagan,MN
103,103,Data Science,,"Engage in the classroom and reply to emails, students’ questions, etc. within 24 hours on non-holiday weekdays.Be a faculty leader in your classes.",no,United States,
104,104,Data Scientist,,"Design and implement model features using administrative claims data, engagement data, and other data sources.Experience with healthcare data is a plus.",yes,New York State,
105,105,"Part-time Faculty Mathematics, Statistics and/or Data Scienc...",,"Part-time Faculty Mathematics, Statistics and/or Data Science Instructor.**Montgomery College accepts applications for Adjunct/Part-time Faculty on a…",no,Montgomery County,MD
106,106,Data Scientist,,"Establish links across existing data sources and find new, interesting data correlations.Strong knowledge of core computer science principles including…",no,Stamford,CT
107,107,Data Scientist,,"Experience with data mining and data visualization tools, such as Alteryx, Tableau etc.Knowledge of data and analytics landscape.",no,Toledo,OH
108,108,Data Science,,"Engage with domain experts to define requirements for data science solutions, define and develop alternative approaches, training data creation and curation,…",no,Creve Coeur,MO
109,109,Data Scientist,,"Significant data science or computer science expertise.They have expertise in cloud-based data management and analysis, conservation science workflows, and…",no,Washington,DC
110,110,Global Analytics Associate,,Computer Sciences degree with data analysis/data science concentration.Review/QC data to ensure accuracy of attribution reports.,no,Nashville,TN
111,111,"Assistant Scientist, Data Curation",,Identify potential issues in data acquisition from the LC-MS instruments.BS Degree in physical or mathematical science or equivalent STEM degree.,no,Morrisville,NC
112,112,Data Scientist,,"Analyzes and models structured data and implements algorithms to support analysis using advanced statistical and mathematical methods from statistics, machine…",no,Fort Wayne,IN
113,113,Data Scientist,,"Understanding of high performance algorithms and R statistical software ; Experience in industry data science (e.g., machine learning, predictive maintenance);…",no,Dayton,OH
114,114,"Postdoctoral Fellowship, Data Institute",,"Opportunity to mentor or co-mentor graduate students on industry practicum projects, which will expose the fellow to practical data science problems in industry…",no,San Francisco,CA
115,115,Applied Mathematician,,"You will be part of an experienced software development team and will be asked to solve challenging 3D problems that will impact how dentist scan, design, and…",no,Richardson,TX
116,116,Research Data Coordinator Behavioral Science,,"Collects and enters patient's data into database including: demographic, outcomes data, and assessment data.Utilizes motivational techniques to assist patients…",no,Houston,TX
117,117,Data Science,"$61,930 - $162,227 a year","Research design and data analysis.Our MIDS program trains data scientists to manage and analyze the coming onslaught of big data, in a unique high-touch online…",no,Berkeley,CA
118,118,Data Analyst,"$4,917 - $8,060 a month","Assists in developing data quality measures, analyzing data quality results, and implementing necessary changes to ensure data quality improvement.",no,Austin,TX
119,119,Machine Learning,,"An expert Cloud data /ML engineer with an eye for AI.Minimum 1 year of design and implementation (building, containerizing and deploying end to end automated…",no,Miami,FL
120,120,Data Scientist,,Experience sourcing data for modeling from a star schema data warehousing architecture and feature engineering using SQL.,no,Columbus,OH
121,121,Data Scientist,,"Serve as a data science and analytics team lead in a highly matrixed research environment, and as a data science project lead on multidisciplinary teams that…",no,Philadelphia,PA
122,122,Software Development Engineer - Marketing Analytics,,These systems should be designed to scale with exponential growth in data and run continuously.You will be designing analytic applications that capture data…,no,Irvine,CA
123,123,NLP Developer,,"Required Skills4 - 6 years of professional experience in NLP programmingNLP programming in R and or Python / AnacondaHeavy programming skills; linguistics, text…",no,Charlotte,NC
124,124,Applied Social Scientist,"$72,750 - $113,362 a year","Attention to detail, self-motivation, flexibility, and resilience are critical and data visualization skills are a plus.",no,Fort Meade,MD
125,125,Postdoctoral Research Associate: Cognitive Science + Big Dat...,,This person will conduct research that uses big data including text corpuses and theory-based as well as data-based (machine learning) interpretation of such…,no,Princeton,NJ
126,126,Data Scientist,,Perform demographic data analyses to showcase the characteristics of specific data sets to convey the benefits of using the different data sets.,no,New York,NY
127,127,Machine Learning,$75 an hour,"Supervising the data acquisition process if more data is needed.Verifying data quality, and/or ensuring it via data cleaning.Analysis- 50% of the time.",yes,Remote,
128,128,Data Analytics Engineer,,Experience with common data science toolkits such as R & Python.Ensure data integrity through testing of results.Proficient using query languages such as SQL.,no,Raymond,OH
129,129,Machine Learning,,"You will be working closely with our data science, product, engineering and care teams.Dig into data with ad hoc analysis as necessary for technical, clinical,…",yes,Remote,
130,130,Machine Learning,,Strong background in algorithms and data structures.Utilizing Spark Hadoop MapReduce Hive Impala to perform distributed data processing pipelines.,no,Santa Clara Valley,CA
131,131,Data Science,,You have experience building and leading large and geographically distributed data science teams (100+).You have a deep technical background in applied data…,no,Los Gatos,CA
132,132,Data Science,,"Experience and training in data science.The position participates as a member of the data science team in identifying and analyzing school data, proprietary…",yes,Remote,
133,133,Data Scientist,,Advise analysts and non-technical teams on issues where data science can make an impact.The key concerns of the data science team range from predicting the…,yes,Remote,
134,134,Applied Research Scientist (University Grad),,"Experience performing data extraction, cleaning, analysis and presentation for medium to large datasets.Work cross-functionally to define problem statements,…",no,Menlo Park,CA
135,135,Data Analyst,,"Intermediate Excel skills Desire to continue to improve computational, statistical, behavioral and data science skills.Knowledge of R is a plus.",no,United States,
136,136,Full Time Opportunities for PhD Students or Recent Graduates...,,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,no,Redmond,WA
137,137,Data Analytics Associate,"$95,000 - $105,000 a year","Being the expert on where data originates, how they are mapped and utilized in our products, and ultimately what value data delivers to our customers.",yes,Remote,
138,138,Data Science,,"As a Recruiting Lead on our Data Science Sourcing & Recruiting Teams, you will work closely with recruiting and sourcing leaders, Data Science business leaders…",no,Menlo Park,CA
139,139,"Sr. Full Stack Developer, Decision Science",,Transform data science protypes and applying appropriate ML algorithms and tools.Build data APIs and data delivery services that support critical operational…,no,Atlanta,GA
140,140,Data Scientist,,"Experience with data mining and data visualization tools, such as Alteryx, Tableau etc.Knowledge of data and analytics landscape.",no,Toledo,OH
141,141,Data Scientist,,Leverages data science methodology to solve complex business problems.Partners with less experienced employees on data science tools and methodologies.,no,Columbus,IN
142,142,Data Scientist,,Knowledge of data science technical stacks.Dealing with the flood of sensor data requires us to build large-scale systems that ride the big data wave rather…,yes,Remote,
143,143,AI Consultant 3,,"The investments we are making will help the company create innovative digital banking experiences, and make it easier for customers to achieve their financial…",no,San Francisco,CA
144,144,Data Science,,Provide business ownership for the Statistical Tools and Data Analysis across the GSP data sciences efforts.In this vital role you will be a hands on technical…,no,Thousand Oaks,CA
145,145,Data Science,,The Department of Data Science and Business Analytics at Florida Polytechnic University invites applications for a visiting assistant professor position…,no,Lakeland,FL
146,146,AI/ML Rotation Program,,Strong Computer Science fundamentals including familiarity with basic algorithms and data structures.Strong object-oriented programming and design skills.,no,Seattle,WA
147,147,Data Science,,Experience learning and applying state-of-the-art practices and methodologies for data disclosure including differential privacy and synthetic data generation.,no,Washington,DC
148,148,"Postdoctoral Research Scientist, Applied Perception Science...",,Experience with the modeling and analysis of 3D geometrical data using standard algebraic and/or quaternion-based methods.,no,Redmond,WA
149,149,Data Science,,"Collaborative efforts between math, science, and education faculty recently led to the funding of two major grants (a UTeach replication grant worth up to $1.4…",no,Columbus,GA
150,150,Data Science,,"Data science, and cybersecurity and graduate programs in data science, cyber security, and cyber risk.Terminal degree in data science, computer science, or a…",no,Erie,PA
151,151,"Statistical Programming Leadership Opportunity, Late Oncolog...",,"You will work in the Oncology Programming department that oversees and delivers global programming aspects of clinical development, leads and maintains the end…",no,Gaithersburg,MD
152,152,Software Development Engineer - Personalization,,"You are a software engineer with an interest in modern user interfaces, data science, machine learning, search, or recommendation systems.",no,Irvine,CA
153,153,Data Scientist,,"Document data sources, data definitions, strategies, models and policies.Strong data querying skills using SQL, hands-on data analysis experience using SAS or…",no,Beaverton,OR
154,154,Machine Learning,,Purdue University's Department of Computer and Information Technology invites applications for (2) Tenure Track Faculty positions at the rank of Assistant…,no,West Lafayette,IN
155,155,Data Engineer,,"This role requires deep understanding of data architecture, data engineering, data analysis, reporting, and a basic understanding of data science techniques and…",no,Franklin Lakes,NJ
156,156,Data Science,,Work with Data Engineering to keep abreast of data enrichment including first and third party data.Develop profit optimization models with data and through…,no,Bloomfield,CT
157,157,"AI/ML - Applied Research Scientist, MI Sensing",,"In this role, you will work with time-series data from multiple sensors, build data and machine learning pipelines, help integrate models on-device to power new…",no,Seattle,WA
158,158,Data Scientist,"$54,142 - $89,315 a year",The Department of Biostatistics seeks a biomedical data scientist with expertise in biostatistical consulting and analysis of biomedical data including clinical…,yes,Lexington,KY
159,159,"AI/ML - Applied Research Scientist, Sensing Experiences",,"In this role, you will work with time-series data from multiple sensors, build data and machine learning pipelines, help integrate models on-device to power new…",no,Seattle,WA
160,160,Machine Learning,,"An expert Cloud data /ML engineer with an eye for AI.Minimum 1 year of design and implementation (building, containerizing and deploying end to end automated…",no,Irving,TX
161,161,Researcher 5,,"Develop, document and maintain analytic data files.Demonstrated experience in large-scale data management.Master's Degree in Statistics, Biostatistics, Data…",no,Minneapolis,MN
162,162,Cybersecurity - Multiple Levels,,"Noblis is looking for cleared candidates to fill IT positions at varying levels with program management, systems engineering, information security, and data…",no,Huntsville,AL
163,163,Data Engineer,,"Minimum of two years of experience in one or more of the following areas:- Business Translator (identifying business problem, initiative, analytics intervention…",no,Irving,TX
164,164,Data Scientist,,Experience in data engineering a plus.Tableau / data visualization experience a plus.The candidate will also produce creative solutions to complex business…,no,Parsippany,NJ
165,165,Consumer & Market Knowledge - Advanced Analytics Co-op (FALL...,,Have confirmed history from school or work experience that demonstrates an ability to lead a data science or analytics.,no,Cincinnati,OH
166,166,Machine Learning,,Demonstrated experience working with and updating cached data.Required SkillsBachelors Degree in Computer Science/ related degree or Equivalent working…,no,Pennington,NJ
167,167,Data Scientist,,"6+ years of industry experience in predictive modeling, data science, and analysis.Experience handling terabyte size datasets, diving into data to discover…",yes,Remote,
168,168,Data Scientist,,"You think about data in terms of statistical distributions and have a big enough analytics toolbox to know how to find patterns in data, identify targets for…",no,Seattle,WA
169,169,Data Scientist,,"Experience working with publicly available socio-demographic data, including US Census data, local government data, and publicly available geographic data.",no,McLean,VA
170,170,Data Scientist,,"Generate insights from diverse data types, including physiological waveforms, bedside monitoring data, and data from electronic medical records.",no,Cambridge,MA
171,171,Data Scientist,,Manipulate and / or build query statements to perform data extracts across multiple data sets and platforms.To translate data into intelligence.,yes,Remote,
172,172,Data Scientist,,"3+ years of experience in a data science capacity or the equivalent academic experience.Experience with systems-level data science toolkits (scikit-learn,…",no,Miami,FL
173,173,Statistician,,Review case report forms to ensure appropriate data collection.Review edit checks algorithm to ensure data quality for statistical analyses.,no,San Diego,CA
174,174,Data Science,,A team of data scientists and data engineers.Be part of and lead team of data scientists and data engineers.Knowledge of computer science concepts.,no,San Francisco,CA
175,175,Data Scientist,,At least 1 year of solid data science industry experience.Improving our data engineering and workflow.Metis Data Scientists provide incredible and inspiring…,yes,Remote,
176,176,Data Scientist,,2 years of experience in data science or advanced analytics in industry.The primary purpose of this role is to provide advanced analytical capabilities to…,no,Charlotte,NC
177,177,Mathematical Statistician,"$64,649 - $166,502 a year","Experience includes conducting energy studies and developing mathematical methods and techniques; developing mathematical/statistical techniques, approaches and…",yes,Anchorage,AK
178,178,"Applied Science Manager, AWS Health AI",,"PhD degree in a quantitative field (computer science, electrical engineering, mathematics, physics, or similar).Fluency in written and spoken English.",no,Seattle,WA
179,179,Data Scientist,,"Hands-on experience with data science platforms, e.g., H2O, Databricks, Domino Data etc. is a plus.Managing and leading a team of data scientists will be a…",no,Birmingham,AL
180,180,Data Analyst,,"Intermediate Excel skills Desire to continue to improve computational, statistical, behavioral and data science skills.Knowledge of R is a plus.",no,United States,
181,181,Machine Learning,,"Ph.D. in computational biology, chemical engineering, computer science, physical or biological sciences, machine learning, or related discipline.",no,Cambridge,MA
182,182,Data Scientist,,Perform analysis on large sets of data to extract impactful insights that will help drive product decisions.Possess statistical competence (such as regression…,no,New York,NY
183,183,Data Scientist,,"Collaborate closely with engineers, data scientists and team leads across the mission to build and promote shared methods to take data advised decisions.",yes,New York,NY
184,184,Applied Research Scientist I_Clinical Science,,Has a strong quantitative science background.Develop novel analytics for visualizing and interpreting single-cell omics data.,no,Tampa,FL
185,185,Data Engineer,,"Collaborate with engineers, product managers, and data scientists to understand data needs, representing key data insights visually in a meaningful way.",yes,Remote,
186,186,Data Analyst,,Acquire data from primary or secondary data sources and maintain databases/data systems to empower operational and exploratory analysis.,no,Fremont,CA
187,187,Data Scientist,,This is a great opportunity for fresh MS and PhD graduates who want to start their career in data science.Experience in data manipulation and cleaning.,no,Birmingham,AL
188,188,Data Scientist,,"Additionally, the person would work with cross-functional partners and other data scientists across Instagram and Facebook, communicating findings and…",yes,Remote,
189,189,Data Collection and Labeling Technician - Entry Level Data S...,,Create data annotation polygons using custom image marking tools.Current or prior experience working with external USB drives and transferring data.,no,Tewksbury,MA
190,190,Data Scientist,,Develop data modeling and data driven solutions based on business requirements.Define data quality gaps and make recommendations.,no,Richfield,MN
191,191,Data Science,,"The ideal candidate will have a broad knowledge of data analytics, with a strong interest in teaching to multidisciplinary, liberal arts audiences, including…",no,Williamsburg,VA
192,192,Data Scientist,,Minimum of 3-years experience in the data science/machine learning field.Work with all teams within the company to identify areas where data science can…,yes,Remote,
193,193,Data Science,,You have experience building and leading large and geographically distributed data science teams (100+).You have a deep technical background in applied data…,no,Los Gatos,CA
194,194,Data Scientist,,1-3 years of experience in data science and advanced data analytics.Familiar with model and data pipelines.The Associate Data Scientist is responsible for the…,yes,Remote,
195,195,Postdoctoral Fellow,,Broader programs of research concerned with eliminating disparities in access to and/or outcomes in health that could be enhanced through application of new…,no,San Antonio,TX
196,196,Principal Applied Scientist,,We are seeking a passionate and talented Principal Applied Scientist who will collaborate with other scientists and engineers to leverage machine learning…,no,San Diego,CA
197,197,Data Scientist,,Turn data models and algorithms into software and evaluate model effectiveness by conducting tests on large sets of historical data.,no,Herndon,VA
